					郑州商品交易所期权每日行情表(2019-10-17)
品种代码   |昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|DELTA     |隐含波动率|行权量
CF001C10800|1,857.00  |0.00      |0.00      |0.00      |0.00      |1,802.00  |-55.00    |-55.00    |0         |0         |0         |0.00        |0.9859    |20.47     |0
CF001C11000|1,660.00  |0.00      |0.00      |0.00      |0.00      |1,606.00  |-54.00    |-54.00    |0         |0         |0         |0.00        |0.9749    |19.80     |0
CF001C11200|1,465.00  |0.00      |0.00      |0.00      |0.00      |1,411.00  |-54.00    |-54.00    |0         |4         |0         |0.00        |0.9589    |19.17     |0
CF001C11400|1,274.00  |0.00      |0.00      |0.00      |0.00      |1,221.00  |-53.00    |-53.00    |0         |68        |0         |0.00        |0.9354    |18.58     |0
CF001C11600|1,087.00  |1,094.00  |1,094.00  |1,094.00  |1,094.00  |1,035.00  |7.00      |-52.00    |40        |224       |0         |21.29       |0.9016    |18.04     |0
CF001C11800|909.00    |0.00      |0.00      |0.00      |0.00      |858.00    |-51.00    |-51.00    |0         |172       |0         |0.00        |0.8544    |17.58     |0
CF001C12000|740.00    |660.00    |756.00    |572.00    |709.00    |692.00    |-31.00    |-48.00    |182       |1,052     |-64       |64.63       |0.7904    |17.20     |0
CF001C12200|586.00    |469.00    |605.00    |446.00    |563.00    |543.00    |-23.00    |-43.00    |312       |750       |-42       |87.25       |0.7083    |16.94     |0
CF001C12400|453.00    |345.00    |476.00    |331.00    |439.00    |413.00    |-14.00    |-40.00    |396       |1,668     |48        |83.80       |0.6128    |16.81     |0
CF001C12600|340.00    |340.00    |367.00    |246.00    |329.00    |304.00    |-11.00    |-36.00    |774       |2,206     |-12       |120.74      |0.5100    |16.82     |0
CF001C12800|249.00    |225.00    |270.00    |172.00    |241.00    |221.00    |-8.00     |-28.00    |716       |3,394     |-36       |79.23       |0.4091    |16.97     |0
CF001C13000|181.00    |163.00    |192.00    |120.00    |172.00    |158.00    |-9.00     |-23.00    |1,962     |9,066     |200       |145.23      |0.3184    |17.25     |0
CF001C13200|131.00    |110.00    |135.00    |80.00     |124.00    |112.00    |-7.00     |-19.00    |1,538     |6,872     |178       |84.79       |0.2422    |17.63     |0
CF001C13400|96.00     |76.00     |97.00     |56.00     |83.00     |80.00     |-13.00    |-16.00    |922       |4,450     |-44       |37.92       |0.1816    |18.10     |0
CF001C13600|70.00     |53.00     |71.00     |40.00     |58.00     |57.00     |-12.00    |-13.00    |786       |4,632     |12        |22.69       |0.1354    |18.62     |0
CF001C13800|52.00     |32.00     |50.00     |30.00     |45.00     |41.00     |-7.00     |-11.00    |622       |3,184     |18        |12.56       |0.1008    |19.18     |0
CF001C14000|40.00     |30.00     |42.00     |22.00     |31.00     |30.00     |-9.00     |-10.00    |1,150     |11,500    |350       |18.94       |0.0751    |19.76     |0
CF001C14200|31.00     |18.00     |54.00     |18.00     |29.00     |21.00     |-2.00     |-10.00    |54        |4,038     |-6        |0.75        |0.0556    |20.36     |0
CF001C14400|24.00     |0.00      |0.00      |0.00      |0.00      |16.00     |-8.00     |-8.00     |0         |2,226     |0         |0.00        |0.0421    |20.96     |0
CF001C14600|19.00     |18.00     |18.00     |18.00     |18.00     |12.00     |-1.00     |-7.00     |2         |1,940     |2         |0.02        |0.0320    |21.56     |0
CF001C14800|15.00     |0.00      |0.00      |0.00      |0.00      |9.00      |-6.00     |-6.00     |0         |1,848     |0         |0.00        |0.0238    |22.15     |0
CF001C15000|12.00     |13.00     |14.00     |8.00      |11.00     |7.00      |-1.00     |-5.00     |374       |7,560     |-82       |2.14        |0.0187    |22.74     |0
CF001C15200|10.00     |11.00     |11.00     |8.00      |8.00      |5.00      |-2.00     |-5.00     |88        |1,124     |-8        |0.41        |0.0141    |23.31     |0
CF001C15400|8.00      |9.00      |9.00      |9.00      |9.00      |4.00      |1.00      |-4.00     |2         |1,040     |-2        |0.01        |0.0111    |23.87     |0
CF001C15600|6.00      |7.00      |7.00      |7.00      |7.00      |3.00      |1.00      |-3.00     |18        |750       |2         |0.05        |0.0084    |24.42     |0
CF001C15800|5.00      |4.00      |7.00      |4.00      |7.00      |2.00      |2.00      |-3.00     |40        |778       |-20       |0.08        |0.0068    |24.95     |0
CF001C16000|5.00      |7.00      |9.00      |6.00      |9.00      |2.00      |4.00      |-3.00     |154       |5,192     |8         |0.61        |0.0052    |25.47     |0
CF001C16200|4.00      |0.00      |0.00      |0.00      |0.00      |2.00      |-2.00     |-2.00     |0         |734       |0         |0.00        |0.0042    |25.98     |0
CF001C16400|3.00      |0.00      |0.00      |0.00      |0.00      |1.00      |-2.00     |-2.00     |0         |832       |0         |0.00        |0.0033    |26.48     |0
CF001C16600|3.00      |0.00      |0.00      |0.00      |0.00      |1.00      |-2.00     |-2.00     |0         |312       |0         |0.00        |0.0026    |26.97     |0
CF001C16800|2.00      |4.00      |4.00      |4.00      |4.00      |1.00      |2.00      |-1.00     |4         |690       |-4        |0.01        |0.0021    |27.44     |0
CF001C17000|2.00      |0.00      |0.00      |0.00      |0.00      |1.00      |-1.00     |-1.00     |0         |1,024     |0         |0.00        |0.0017    |27.90     |0
CF001C17200|2.00      |0.00      |0.00      |0.00      |0.00      |1.00      |-1.00     |-1.00     |0         |718       |0         |0.00        |0.0013    |28.35     |0
CF001C17400|1.00      |0.00      |0.00      |0.00      |0.00      |1.00      |0.00      |0.00      |0         |1,316     |0         |0.00        |0.0011    |28.79     |0
CF001C17600|1.00      |4.00      |4.00      |4.00      |4.00      |1.00      |3.00      |0.00      |6         |2,894     |0         |0.01        |0.0009    |29.23     |0
CF001C17800|1.00      |5.00      |6.00      |4.00      |6.00      |1.00      |5.00      |0.00      |38        |17,032    |-2        |0.09        |0.0007    |29.65     |0
小计       |          |          |          |          |          |          |          |          |10,180    |101,290   |496       |783.25      |          |          |0
CF001P10800|5.00      |9.00      |9.00      |7.00      |8.00      |6.00      |3.00      |1.00      |62        |4,948     |0         |0.25        |-0.0169   |20.47     |0
CF001P11000|9.00      |19.00     |19.00     |19.00     |19.00     |9.00      |10.00     |0.00      |10        |5,222     |2         |0.10        |-0.0266   |19.80     |0
CF001P11200|14.00     |26.00     |26.00     |17.00     |20.00     |15.00     |6.00      |1.00      |80        |9,568     |16        |0.84        |-0.0415   |19.17     |0
CF001P11400|22.00     |39.00     |39.00     |20.00     |24.00     |24.00     |2.00      |2.00      |240       |4,726     |108       |3.72        |-0.0638   |18.58     |0
CF001P11600|36.00     |44.00     |62.00     |28.00     |31.00     |39.00     |-5.00     |3.00      |526       |3,842     |248       |11.97       |-0.0966   |18.04     |0
CF001P11800|57.00     |67.00     |88.00     |43.00     |50.00     |61.00     |-7.00     |4.00      |1,958     |4,002     |842       |62.96       |-0.1430   |17.58     |0
CF001P12000|88.00     |97.00     |132.00    |69.00     |75.00     |94.00     |-13.00    |6.00      |3,372     |10,066    |-148      |161.89      |-0.2063   |17.20     |0
CF001P12200|133.00    |145.00    |194.00    |99.00     |113.00    |145.00    |-20.00    |12.00     |2,308     |10,468    |1,512     |144.01      |-0.2878   |16.94     |0
CF001P12400|199.00    |255.00    |295.00    |171.00    |184.00    |214.00    |-15.00    |15.00     |2,776     |6,210     |-36       |298.73      |-0.3831   |16.81     |0
CF001P12600|285.00    |329.00    |398.00    |253.00    |287.00    |304.00    |2.00      |19.00     |706       |3,562     |6         |107.66      |-0.4858   |16.82     |0
CF001P12800|394.00    |465.00    |518.00    |354.00    |377.00    |420.00    |-17.00    |26.00     |148       |2,168     |0         |32.29       |-0.5867   |16.97     |0
CF001P13000|524.00    |648.00    |666.00    |485.00    |525.00    |557.00    |1.00      |33.00     |228       |1,714     |22        |63.02       |-0.6777   |17.25     |0
