,1,2,3,4,5,6,7,8,9,10,11
2,19960102,0,0,0,0.201149,0.186233,0,0,0,0.0931612,"0.0931612
"
3,19960104,0,0,0,0.160974,0.160974,0,0,0,0.102601,"0.102601
"
4,19960105,0,0,0,0.210626,0.177794,0,0,0,0.0973819,"0.0795963
"
5,19960109,0,0,0,0.144747,0.125197,0,0,0,0.0933701,"0.0933701
"
6,19960110,0,0,0,0.207232,0.207232,0,0,0,0.093606,"0.120779
"
7,19960111,0,0,0,0.132174,0.132174,0,0,0,0.0590427,"0.0590427
"
8,19960115,0,0,0,0.114425,0.114425,0,0,0,0.128068,"0.0808563
"
9,19960116,0,0,0,0.0881026,0.0881026,0,0,0,0.124762,"0.124762
"
10,19960117,0.246392,0,0.427815,0.193012,0.209584,0,0,0,0.204312,"0.204312
"
11,19960118,0,0,0,0.148293,0.168156,0,0,0,0.128728,"0.140454
"
12,19960119,0,0,0,0.288476,0.27523,0,0,0,0.285359,"0.319695
"
13,19960122,0,0,0,0.21122,0.182736,0,0,0,0.181383,"0.165076
"
14,19960123,0.236291,0,0.223915,0.321243,0.33653,0.337882,6,0.187167,0.22072,"0.25344
"
15,19960124,0,0,0,0.143564,0.121116,0.132901,4,0.155746,0.148654,"0.121383
"
16,19960125,0,0,0,0.212397,0.200331,0.172753,4,0.0491433,0.173558,"0.158534
"
17,19960126,0,0,0,0.21952,0.203206,0,0,0,0.101654,"0.101654
"
18,19960131,0,0,0,0.159644,0.173598,0,0,0,0.171827,"0.171827
"
19,19960202,0,0,0,0.118188,0.118188,0,0,0,0.069901,"0.069901
"
20,19960205,0,0,0,0.179632,0.207538,0,0,0,0.166233,"0.174092
"
21,19960206,0,0,0,0.225472,0.225472,0,0,0,0.182895,"0.182895
"
22,19960209,0,0,0,0.229533,0.229533,0,0,0,0.129673,"0.129673
"
23,19960212,0,0,0,0.19692,0.152585,0,0,0,0.104714,"0.0983257
"
24,19960216,0,0,0,0.168108,0.185797,0,0,0,0.197901,"0.197901
"
25,19960220,0.237089,6,0.226799,0.189417,0.221903,0,0,0,0.160152,"0.173666
"
26,19960221,0.107104,4,0.154337,0.233137,0.260655,0,0,0,0.202643,"0.202643
"
27,19960222,0,0,0,0.0853,0.0853,0,0,0,0.123015,"0.123015
"
28,19960223,0,0,0,0.234415,0.262174,0,0,0,0.185592,"0.219612
"
29,19960228,0,0,0,0.130802,0.130802,0,0,0,0.104912,"0.104912
"
30,19960229,0,0,0,0.1412,0.1412,0,0,0,0.129384,"0.138528
"
31,19960301,0,0,0,0.156667,0.139998,0,0,0,0.145784,"0.145784
"
