报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250331,,5672225870.41,,,2256259338.05,,,1284613344.24,,1284613344.24,,1076140151.66,2929204.5,,,,,,,,,,34337808.95,,,,,745154905.55,109092002.76,11177823421.62,,,,,,,,436041342.35,684863019.13,,216991384.0,1052893592.7,,,,,,,,,,,1074626599.16,,,,,7412918.77,1872370890.01,,1578065048.53,81908247.83,,81207610.41,2071349861.6,9157730514.49,20335553936.11,,2523642666.74,,,,3771090.35,,3230753165.82,1249000000.0,1981753165.82,330196.15,265563237.11,,,191292626.51,192875806.63,,,,,,185960260.65,,,,,,,,,,,,,,5638991.23,76362507.1,6676190548.29,,,,,,1907259.56,,,,,,,93965572.89,,95872832.45,6772063380.74,,2212237681.0,,,,2558517496.25,300524656.78,-122014755.07,,666869940.33,,,8427549692.03,,,13442635397.76,120855157.61,13563490555.37,20335553936.11,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T16:52:15
20241231,,5058893098.76,,,2249440497.59,,,1212667677.2,,1212667677.2,,729588626.88,12782059.51,,,,,,,,,30058049.53,42840109.04,,,,,923069692.33,118850219.61,10335349921.41,,,,,,,,446322435.18,689233033.12,,217022972.2,1037418816.34,,1186998835.65,110354041.84,1076644793.81,,,,,1076644793.81,,1076644793.81,,,,,6566577.29,1888794105.85,,1578065048.53,66733610.79,,44668879.75,2195871744.13,9247342016.99,19582691938.4,,2653781111.11,,,,8743696.6,,2712312211.58,1044500000.0,1667812211.58,362116.34,244227089.06,,,384954362.43,200043621.99,,,,,200414366.22,200414366.22,,,,,,,,,,,,,,5085969.06,49219418.15,6459143962.54,,,,,,1528614.88,,,,,,,105413115.53,,106941730.41,6566085692.95,,2217864281.0,,,,2678529816.16,401229096.75,-119674167.7,,666869940.33,,,7878369071.34,,,12920729844.38,95876401.07,13016606245.45,19582691938.4,定期报告,是,20250430,CNY,合并期末,2025-04-18T18:56:06
20240930,,4061942251.76,,,2376504687.21,,,1241383211.78,,1241383211.78,,1196735584.05,146713.6,,,,,,,,,,34565797.05,,,,,1023692300.1,131716270.58,10066540102.53,,,,,,,,504090992.75,,,243677321.32,1067568673.84,,,,,,909413288.93,,,,,802093899.35,,,,,8962668.03,1950306569.66,,1578065048.53,96028562.68,,48238969.58,2198050454.18,9406496448.85,19473036551.38,,2071628333.35,,,,1593068.6,,3390857668.17,1509000000.0,1881857668.17,,259464134.58,,,308058494.42,162762576.14,,,,,,214123897.43,,,,,,,,,,,,,,160682652.31,64515453.31,6633686278.31,,,,,,4328284.3,,,,,,,103333741.51,,107662025.81,6741348304.12,,2217864281.0,,,,2678529816.14,401229096.75,-136003558.42,,666869940.33,,,7573911013.74,,,12599942396.04,131745851.22,12731688247.26,19473036551.38,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T18:25:04
20240630,,3909071141.06,,,2804612941.44,,,1289722221.77,,1289722221.77,,1040456754.16,3363297.36,,,,,,,,,32424195.74,35787493.1,,,,,916503605.34,90703934.11,10086858090.98,,,,,,,,503824014.75,,,247397730.84,917919232.3,,985182239.31,176799915.53,808382323.78,,775702455.39,775702455.39,,808382323.78,,808382323.78,,,,,12749140.01,1967049751.39,,1578065048.53,93399383.85,,79811706.04,2260434678.96,9244735465.84,19331593556.82,,1763133888.9,,,,456586.09,,3556452437.79,1539000000.0,2017452437.79,,290102426.56,,,257164937.24,173170504.02,,,,,199468090.24,199468090.24,,,,,,,,,,,,,,83628350.02,60229306.0,6383806526.86,,80750000.0,,,,4920678.0,,,,,,,106834520.94,,192505198.94,6576311725.8,,2217864281.0,,,,2863916788.42,401229096.75,-120147454.57,,666869940.33,,,7418014496.76,,,12645288955.19,109992875.83,12755281831.02,19331593556.82,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T16:30:04
20240331,,6868736492.8,,,2752478343.1,,,1527930868.37,,1527930868.37,,866959028.31,,,,,,,,,,,35794651.67,,,,,529213572.23,90996158.71,12672109115.19,,,,,,,,508839103.15,,,247199935.79,908880746.01,,,,,,645151953.55,,,,,815616536.8,,,,,13058369.13,1976995967.97,,1578065048.53,92809139.72,,65565545.91,1154820540.78,8007002887.34,20679112002.53,,2342769583.34,,,,5570628.63,,3366379815.7,1297000000.0,2069379815.7,,298741219.04,,,202996184.39,192657752.99,,,,,,203124828.92,,,,,,,,,,,,,,209358373.1,84262254.53,6905860640.64,,306000000.0,,,,3495220.87,,,,,,,108901520.07,,418396740.94,7324257381.58,,2217864281.0,,,,2843474119.3,401229096.75,-127453243.98,,666869940.33,,,8045358398.81,,,13244884398.71,109970222.24,13354854620.95,20679112002.53,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T17:30:14
20231231,,6176992875.55,,,2024681502.03,,,1479267695.67,,1479267695.67,,1143237497.9,10000000.0,,,,,,,,,36247241.46,46247241.46,,,,,164307298.27,88085256.86,11122819367.74,,,,,,,,520735613.55,,,247132794.34,825660687.4,,986698856.42,163190571.82,823508284.6,,534491192.2,534491192.2,,823508284.6,,823508284.6,,,,,16622471.2,1040204870.96,,1578065048.53,90785937.93,,53947130.48,2280577680.43,8011731711.62,19134551079.36,,1554577083.34,,,,74311.41,,2912714480.74,1087000000.0,1825714480.74,0.0,280023602.87,,,408786174.15,280471436.39,,,,,201521074.52,201521074.52,,,,,,,,,,,,,,212167632.34,55277993.63,5905613789.39,,306000000.0,,,,3944589.05,,,,,,,106630292.58,,416574881.63,6322188671.02,,2217864281.0,,,,2823040832.04,300524656.78,-129511563.25,,666869940.33,,,7429206642.53,,,12706945475.87,105416932.47,12812362408.34,19134551079.36,定期报告,是,20250419,CNY,合并期末,2024-04-19T18:20:04
20230930,,6741946656.73,,,1875990481.9,,,1466570857.16,,1466570857.16,,1221554925.07,,,,,,,,,,,40843382.82,,,,,185557808.16,63384921.17,11595849033.01,,,,,,,,610240911.03,,,271291909.64,788846666.62,,,,,,403991251.46,,,,,832038734.41,,,,,19688451.72,1044896316.27,,1589065048.53,111008744.0,,56019029.48,1397432869.47,7124519932.63,18720368965.64,,1518285500.0,,,,180372.01,,3045107370.95,1454000000.0,1591107370.95,,247838647.4,,,276031243.89,286027939.4,,,,,,201675979.89,,,,,,,,,,,,,,205230124.92,70088930.55,5850466109.01,,314500000.0,,,,5091022.48,,,,,,,105886595.12,,425477617.6,6275943726.61,,2217864281.0,,,,2890070614.63,300524656.78,-97601378.78,,666869940.33,,,6962940309.6,,,12339619110.0,104806129.03,12444425239.03,18720368965.64,定期报告,未审计,20231031,CNY,合并期末,2023-10-30T16:10:04
20230630,,8232496377.64,,,1881228387.25,,,1432993006.78,,1432993006.78,,961831277.89,,,,,,,,,,52707980.09,52707980.09,,,,,279376846.42,78075017.09,12918708893.16,,,,,,,,606075958.69,,,271570153.45,724537135.88,,993603940.96,158680549.46,834923391.5,,326705519.85,326705519.85,,834923391.5,,834923391.5,,,,,26401292.25,1056362674.08,,1589065048.53,128031967.87,,99538660.56,1291742516.94,6954954319.6,19873663212.76,,1929285500.0,,,,,,3636387322.93,1503000000.0,2133387322.93,,240892166.88,,,217860624.83,247166060.59,,,,,212905566.26,212905566.26,,,,,,,,,,,,,,79258772.61,71118462.53,6634874476.63,,468500000.0,,,,9251557.84,,,,,,,105831047.9,,583582605.74,7218457082.37,,2217864281.0,,,,2852169276.3,83105950.55,-99115449.05,,666869940.33,,,6989093914.46,,,12543776012.49,111430117.9,12655206130.39,19873663212.76,定期报告,未审计,20230831,CNY,合并期末,2023-08-30T16:45:04
20230331,,7557780990.44,,,2252952251.74,,,1455720355.76,,1455720355.76,,722028469.74,,,,,,,,,,,78693095.78,,,,,196712257.4,49357472.57,12313244893.43,,,,,,,,614872058.28,,,269428280.99,694622473.24,,,,,,263485568.34,,,,,839913551.81,,,,,28237495.76,1051026165.33,,1589065048.53,111945626.67,,38404370.83,1213471823.52,6714472463.3,19027717356.73,,1453001825.0,,,,,,2831815642.24,1082000000.0,1749815642.24,,250171942.6,,,177941095.04,265736525.73,,,,,,214887052.78,,,,,,,,,,,,,,52894136.12,53050174.05,5299498393.56,,503500000.0,,,,16492865.0,,,,,,,102407090.54,,622399955.54,5921898349.1,,2217864281.0,,,,2814513291.09,83105950.55,-164247978.12,,666869940.33,,,7533401697.26,,,12985295281.01,120523726.62,13105819007.63,19027717356.73,定期报告,未审计,20230429,CNY,合并期末,2023-04-28T16:15:04
20221231,,5129481882.65,,,2792984819.12,,,1433563842.43,,1433563842.43,,855193135.12,0.0,,,,,,,,,87419373.81,87419373.81,,,,,225739517.7,62124622.63,10586507193.46,,,,,,,,621794374.74,,,269990212.51,685698473.75,,998551937.63,148521902.71,850030034.92,,242508087.97,242508087.97,,850030034.92,,850030034.92,,,,,31967946.49,1059676921.41,,1589065048.53,99473412.05,,34357615.22,1024113999.86,6508676127.45,17095183320.91,,901046888.89,,,,84380.59,,2203560259.52,555000000.0,1648560259.52,,259519734.14,,,374469366.73,294163918.06,,,,,210926206.25,210926206.25,,,,,,,,,,,,,,45909085.65,51763224.36,4341443064.19,,323000000.0,,,,16786536.53,,,,,,,101348616.16,,441135152.69,4782578216.88,,2217864281.0,,,,2776585669.95,83105950.55,-153044746.45,,666869940.33,,,6758838410.54,,,12184007604.82,128597499.21,12312605104.03,17095183320.91,定期报告,是,20240420,CNY,合并期末,2023-04-27T17:35:13
